,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Polk County, Oregon",Polk County,Oregon,22917,47.46,23732,49.14,1642,3.4,2.90%,5.30%,23.10%,27.40%,10.30%,18.90%,12.10%,0.4627,"77,353","1,02,721",1918.98,45.65,87433,14.56,74.02,0.78,1.81,1.95,0.39,0.47,6.02,38.28,21.48,19.23,9.07,11.94
"Sherman County, Oregon",Sherman County,Oregon,260,21.52,921,76.24,27,2.24,3.10%,8.60%,34.60%,25.80%,11.80%,9.60%,6.40%,0.4361,"57,171","74,112",2133.15,0.89,1870,6.36,86.1,0,1.02,0.37,0,0.16,5.99,35.51,16.03,13.19,18.87,16.4
"Tillamook County, Oregon",Tillamook County,Oregon,8066,47.76,8354,49.47,468,2.77,2.90%,6.40%,27.90%,29.10%,10.00%,15.80%,8.00%,0.4422,"63,098","81,374",2857.23,9.57,27390,10.76,80.32,0.28,0.87,1.02,0.31,0.51,5.93,33.56,23.44,18.64,12.22,12.13
"Umatilla County, Oregon",Umatilla County,Oregon,10707,32.41,21270,64.38,1061,3.21,7.10%,8.50%,31.40%,24.00%,10.90%,11.50%,6.80%,0.4128,"70,322","84,404",8327.98,9.59,80075,28.25,62.13,0.81,3.21,0.86,0.16,0.37,4.2,29.04,20.37,20.16,14.46,15.98
"Union County, Oregon",Union County,Oregon,4254,28.47,10298,68.91,392,2.62,1.90%,5.30%,33.20%,27.40%,8.40%,16.60%,7.30%,0.4317,"61,946","77,054",5275.65,4.98,26196,5.14,84.27,0.55,0.84,0.82,1.86,0.49,6.02,31.2,22.18,19.73,10.93,15.95
"Wallowa County, Oregon",Wallowa County,Oregon,1625,31.56,3404,66.11,120,2.33,1.60%,5.10%,27.20%,26.60%,7.60%,20.10%,11.90%,0.455,"62,238","84,003",8147.84,0.91,7391,3.48,89.27,0.12,0.68,0.42,0.05,0.73,5.25,41.4,17.54,19.42,13.63,8.01
"Wasco County, Oregon",Wasco County,Oregon,6604,46.74,7035,49.79,491,3.47,5.90%,7.60%,26.70%,26.10%,11.60%,13.30%,8.80%,0.483,"61,316","87,994",6167.11,4.32,26670,18.81,70.13,0.43,3.69,0.93,0.69,0.41,4.91,36.85,17.2,18.88,15.34,11.73
"Washington County, Oregon",Washington County,Oregon,209940,65.54,99073,30.93,11313,3.53,3.80%,3.40%,17.20%,21.20%,8.70%,28.00%,17.90%,0.4303,"1,00,121","1,27,688",1875.86,319.61,600372,17.93,60.83,2.13,0.4,11.4,0.54,0.52,6.25,49.03,14.25,19.58,6.64,10.5
"Wheeler County, Oregon",Wheeler County,Oregon,217,22.49,711,73.68,37,3.83,1.20%,7.20%,32.20%,27.80%,11.70%,11.80%,8.20%,0.3981,"50,774","62,698",4444.48,0.32,1451,5.79,86.56,0.07,1.17,0.55,0,0.07,5.79,39.35,24.95,19.27,13.79,2.64
"Yamhill County, Oregon",Yamhill County,Oregon,27174,46.12,29551,50.15,2198,3.73,3.90%,6.20%,24.40%,27.80%,8.40%,18.60%,10.70%,0.4467,"80,125","1,02,856",1854.28,58.07,107722,16.52,73.66,0.79,1.25,1.41,0.18,0.57,5.62,34.67,19.08,19.5,11.28,15.48
"Adams County, Pennsylvania",Adams County,Pennsylvania,18207,32.1,37523,66.16,984,1.74,3.30%,6.40%,40.20%,17.00%,8.70%,13.90%,10.50%,0.3952,"78,975","94,922",1343.41,77.86,103852,7.5,86.61,1.42,0.14,0.92,0.03,0.32,3.06,32.2,17.58,18.94,11.15,20.13
"Allegheny County, Pennsylvania",Allegheny County,Pennsylvania,430759,59.43,282913,39.03,11128,1.54,1.50%,3.30%,25.80%,15.50%,10.10%,25.40%,18.40%,0.4835,"72,537","1,02,371",1890.58,658.69,1250578,2.74,75.03,12.92,0.1,4.66,0.02,0.48,4.03,49.47,15.63,20.16,5.85,8.89
"Armstrong County, Pennsylvania",Armstrong County,Pennsylvania,8457,23.25,27489,75.58,424,1.17,2.20%,5.40%,48.90%,14.60%,10.30%,12.70%,5.90%,0.4197,"61,011","78,221",1692.09,38.73,65558,0.75,95.06,0.67,0.09,0.22,0.02,0.18,3.01,29.6,17.54,17.36,13.89,21.62
"Beaver County, Pennsylvania",Beaver County,Pennsylvania,38122,40.5,54759,58.18,1241,1.32,1.40%,3.90%,36.60%,18.60%,12.70%,18.30%,8.40%,0.4355,"67,194","85,850",1125.85,148.89,168215,2.15,85.53,6.58,0.12,0.61,0.03,0.36,4.62,36.83,17.15,20.42,10.19,15.43
"Bedford County, Pennsylvania",Bedford County,Pennsylvania,4367,15.84,23025,83.5,182,0.66,2.80%,6.90%,48.70%,15.90%,9.60%,9.70%,6.40%,0.4271,"58,337","73,543",2621.04,18.17,47577,1.09,95.38,0.38,0.14,0.32,0,0.11,2.58,30.14,16.63,19.36,12.7,21.16
"Berks County, Pennsylvania",Berks County,Pennsylvania,92895,45.2,109736,53.39,2909,1.42,4.80%,7.20%,36.60%,15.40%,9.20%,17.20%,9.70%,0.4452,"74,617","97,622",2218.07,193.18,428849,23.21,67.92,4.22,0.1,1.45,0.01,0.36,2.72,34.32,15.85,20.47,9,20.36
"Blair County, Pennsylvania",Blair County,Pennsylvania,17636,27.73,45306,71.24,653,1.03,1.90%,5.20%,44.80%,15.60%,9.10%,15.60%,7.80%,0.4453,"59,386","79,100",1359.92,90.18,122822,1.39,92.02,2.01,0.11,0.71,0.01,0.3,3.46,34.04,17.97,21.81,9.53,16.65
"Bradford County, Pennsylvania",Bradford County,Pennsylvania,8046,26.68,21600,71.62,513,1.7,2.50%,6.90%,47.10%,14.30%,9.20%,12.20%,7.80%,0.4245,"60,650","78,657",2971.69,20.24,59967,1.46,92.91,0.66,0.2,0.77,0.02,0.22,3.77,31.62,13.24,17.99,11.6,25.55
"Bucks County, Pennsylvania",Bucks County,Pennsylvania,204712,51.66,187367,47.29,4155,1.05,1.80%,3.50%,27.80%,15.40%,8.20%,25.70%,17.60%,0.4446,"1,07,826","1,41,092",1565.3,412.17,646538,6.15,80.67,3.91,0.08,5.42,0.02,0.39,3.35,48.16,12.64,20.97,7.55,10.68
"Butler County, Pennsylvania",Butler County,Pennsylvania,37508,33.1,74359,65.63,1438,1.27,1.10%,3.30%,32.00%,14.50%,10.80%,24.10%,14.20%,0.4519,"82,932","1,08,481",2044.75,95.15,193763,1.89,91.91,1.12,0.08,1.44,0.02,0.3,3.24,43.91,14.42,20.33,8.9,12.44
"Cambria County, Pennsylvania",Cambria County,Pennsylvania,21730,30.79,48085,68.13,759,1.08,2.00%,5.20%,44.40%,15.00%,10.70%,15.50%,7.20%,0.4513,"54,221","72,815",1781.82,74.79,133472,1.85,89.44,4.24,0.07,0.57,0.03,0.24,3.56,33.8,18.93,20.47,10.15,16.65
"Cameron County, Pennsylvania",Cameron County,Pennsylvania,634,26.05,1771,72.76,29,1.19,1.60%,5.80%,51.90%,20.00%,9.90%,8.70%,2.20%,0.4117,"46,186","57,495",1026.24,4.42,4547,1.89,93.93,0.26,0.18,0.64,0,0.26,2.84,25.08,17.13,21.49,9.17,27.13
"Carbon County, Pennsylvania",Carbon County,Pennsylvania,11212,33.34,21984,65.37,433,1.29,3.10%,7.20%,44.10%,16.50%,10.80%,12.50%,5.80%,0.4266,"64,538","81,615",987.71,65.83,64749,5.62,88.71,1.65,0.15,0.51,0.02,0.33,3.01,30.29,17.92,19.13,12.47,20.2
"Centre County, Pennsylvania",Centre County,Pennsylvania,40055,51.69,36372,46.94,1066,1.38,2.10%,3.10%,28.70%,12.30%,7.60%,22.50%,23.70%,0.4775,"70,087","95,839",2867.79,55.33,158172,3.57,81.98,3.35,0.08,7.19,0.02,0.38,3.43,50.96,16.51,17.53,5.58,9.41
"Chester County, Pennsylvania",Chester County,Pennsylvania,182372,57.76,128565,40.72,4816,1.53,2.50%,2.80%,19.30%,13.10%,6.20%,32.80%,23.30%,0.4523,"1,18,574","1,59,035",1943.91,275.98,534413,8.15,75.87,5.31,0.1,6.58,0.02,0.42,3.55,54.82,12.21,19.4,6.45,7.11
"Clarion County, Pennsylvania",Clarion County,Pennsylvania,4678,24,14578,74.79,237,1.22,3.00%,6.10%,46.40%,12.20%,9.50%,14.30%,8.50%,0.429,"58,690","74,681",1556.16,24.09,37241,1.04,94.04,1.4,0.1,0.47,0.04,0.3,2.6,32.05,19.84,19.32,11.88,16.91
"Clearfield County, Pennsylvania",Clearfield County,Pennsylvania,9673,24.49,29203,73.94,620,1.57,3.20%,7.00%,46.90%,13.40%,10.40%,12.70%,6.40%,0.4329,"56,982","72,463",2965.69,26.88,80562,3.27,91.03,2.18,0.1,0.56,0,0.18,2.67,32.13,17.94,18.81,11.59,19.53
"Clinton County, Pennsylvania",Clinton County,Pennsylvania,5502,31.22,11902,67.53,221,1.25,3.20%,7.30%,46.10%,13.90%,9.30%,13.10%,7.20%,0.429,"59,011","75,224",2304.13,16.43,37450,1.77,93.28,1.11,0.14,0.56,0.02,0.19,2.94,30.46,19.18,18.88,12.07,19.41
"Columbia County, Pennsylvania",Columbia County,Pennsylvania,10532,33.79,20098,64.48,541,1.74,2.30%,6.10%,44.30%,13.50%,8.40%,15.50%,9.90%,0.4446,"59,457","76,713",1251.64,51.87,64727,3.31,90.89,1.34,0.11,1.16,0.03,0.25,2.93,33.87,18.37,18.85,10.84,18.07
"Crawford County, Pennsylvania",Crawford County,Pennsylvania,12924,30.77,28559,67.99,521,1.24,3.60%,5.80%,47.40%,14.70%,7.90%,12.80%,7.80%,0.4335,"58,734","75,673",2621.99,31.99,83938,1.48,92.15,1.78,0.13,0.43,0.03,0.27,3.72,31.78,19.16,16.76,10.24,22.07
"Cumberland County, Pennsylvania",Cumberland County,Pennsylvania,62245,43.96,77212,54.53,2138,1.51,2.40%,4.10%,31.30%,15.30%,8.30%,23.60%,15.00%,0.4241,"82,849","1,05,751",1412.79,184.93,259469,4.62,81.7,4.08,0.12,5.33,0.04,0.41,3.69,44.38,14.57,20.54,6.76,13.75
"Dauphin County, Pennsylvania",Dauphin County,Pennsylvania,78983,53.6,66408,45.06,1977,1.34,3.30%,5.50%,32.30%,16.10%,9.50%,21.20%,12.10%,0.4574,"71,046","95,269",1359.41,210.46,286401,10.91,61.16,16.9,0.14,6,0.03,0.51,4.34,40.4,17.05,21.47,6.52,14.56
"Delaware County, Pennsylvania",Delaware County,Pennsylvania,206423,62.74,118532,36.03,4051,1.23,2.20%,4.30%,27.60%,16.90%,8.10%,23.40%,17.50%,0.4818,"86,390","1,21,862",476.07,1208.46,576830,4.64,62.97,22.03,0.12,6.3,0.02,0.45,3.47,45.71,16.8,20.54,6.57,10.38
"Elk County, Pennsylvania",Elk County,Pennsylvania,4522,26.75,12140,71.81,244,1.44,1.80%,5.00%,50.20%,12.10%,12.40%,12.70%,5.80%,0.423,"61,672","76,855",2141.66,14.42,30990,0.95,95.08,0.24,0.05,0.36,0.04,0.15,3.13,27.37,11.9,19.74,9.22,31.78
"Erie County, Pennsylvania",Erie County,Pennsylvania,68286,49.81,66869,48.78,1928,1.41,2.30%,5.20%,37.30%,15.50%,10.10%,18.40%,11.10%,0.4573,"59,396","79,353",2069.14,130.73,270876,4.44,80.92,7.32,0.13,2.35,0.02,0.39,4.44,37.62,20.12,19.45,6.94,15.87
"Fayette County, Pennsylvania",Fayette County,Pennsylvania,20444,32.9,41227,66.35,468,0.75,2.40%,7.70%,47.90%,14.20%,9.10%,12.30%,6.40%,0.4541,"55,579","73,221",2048.05,62.7,128804,1.23,89.53,4.43,0.13,0.29,0.12,0.24,4.03,31.64,18.55,20.08,12.15,17.59
"Forest County, Pennsylvania",Forest County,Pennsylvania,728,27.51,1882,71.13,36,1.36,3.60%,10.60%,53.20%,17.20%,3.80%,8.60%,3.00%,0.4079,"46,188","56,212",1106.6,6.29,6973,4.63,75.69,17.71,0.11,0.24,0,0.06,1.55,26.01,23.56,18.83,14.54,17.06
"Franklin County, Pennsylvania",Franklin County,Pennsylvania,22422,27.76,57245,70.86,1116,1.38,2.80%,7.00%,43.70%,15.20%,8.30%,14.00%,9.00%,0.421,"71,808","91,710",2000.24,78.03,155932,6.9,85.02,3.21,0.16,0.9,0.03,0.32,3.47,33.62,14.81,20.05,10.21,21.31
"Fulton County, Pennsylvania",Fulton County,Pennsylvania,1085,13.6,6824,85.55,68,0.85,3.30%,7.30%,49.50%,13.50%,10.10%,9.60%,6.70%,0.4105,"63,153","77,650",1133.25,12.83,14556,1,94.3,0.85,0.17,0.28,0.02,0.12,3.26,27.37,15.92,18.36,13.27,25.08
"Greene County, Pennsylvania",Greene County,Pennsylvania,4911,27.79,12579,71.19,179,1.01,2.60%,8.00%,44.20%,15.80%,8.30%,13.60%,7.50%,0.4335,"66,283","80,653",1491.66,23.99,35954,1.42,91.5,2.95,0.19,0.33,0.02,0.18,3.41,33.66,21.62,18.46,13.5,12.76
"Huntingdon County, Pennsylvania",Huntingdon County,Pennsylvania,5445,23.89,17061,74.86,286,1.25,3.00%,7.00%,49.90%,13.80%,8.20%,11.90%,6.10%,0.4268,"61,300","78,131",2265.18,19.48,44092,1.93,89.4,5.14,0.11,0.48,0.02,0.23,2.69,33.17,19.53,15.7,13.18,18.4
"Indiana County, Pennsylvania",Indiana County,Pennsylvania,12634,30.67,28089,68.18,475,1.15,2.80%,5.20%,40.90%,15.40%,9.50%,14.80%,11.40%,0.4455,"57,170","75,448",2142.94,38.92,83246,1.77,90.96,2.89,0.14,0.98,0.01,0.18,3.07,32.37,19.37,20.98,11.48,15.79
"Jefferson County, Pennsylvania",Jefferson County,Pennsylvania,4527,19.83,17960,78.69,337,1.48,3.10%,5.70%,51.30%,12.70%,10.20%,11.10%,5.90%,0.4365,"56,607","72,426",1689.81,26.23,44492,0.89,95.11,0.28,0.1,0.22,0.02,0.21,3.16,26.29,18.24,18.61,13.29,23.56
"Juniata County, Pennsylvania",Juniata County,Pennsylvania,2253,18.71,9649,80.12,141,1.17,5.60%,11.40%,48.50%,12.20%,7.90%,9.60%,4.70%,0.4081,"61,915","78,975",1013.7,23.22,23509,3.86,92.86,0.49,0.08,0.29,0.02,0.2,2.19,25.59,12.44,19.98,17.04,24.96
"Lackawanna County, Pennsylvania",Lackawanna County,Pennsylvania,61991,53.71,52334,45.35,1085,0.94,2.60%,5.80%,35.50%,16.00%,10.10%,18.20%,11.70%,0.4559,"63,739","85,038",1188.51,181.46,215896,8.46,81.17,3.43,0.13,3.13,0.01,0.38,3.28,36.69,18.6,21.51,7.34,15.86
"Lancaster County, Pennsylvania",Lancaster County,Pennsylvania,115847,41.17,160209,56.94,5319,1.89,6.40%,6.70%,34.50%,14.20%,7.80%,19.50%,11.00%,0.4277,"81,458","1,04,217",2444.75,226.28,552984,11.06,79.68,3.53,0.09,2.52,0.02,0.35,2.74,37.32,14.99,19.87,10.05,17.77
"Lawrence County, Pennsylvania",Lawrence County,Pennsylvania,15978,34.68,29597,64.24,501,1.09,2.10%,5.90%,42.80%,17.30%,9.80%,15.70%,6.30%,0.4366,"57,585","75,513",925.63,92.81,86070,1.92,88.08,4.12,0.09,0.37,0,0.29,5.12,32.71,18.88,21.95,10.15,16.3
"Lebanon County, Pennsylvania",Lebanon County,Pennsylvania,23932,33.3,46731,65.03,1195,1.66,4.30%,8.10%,41.90%,14.80%,7.90%,14.60%,8.20%,0.4236,"72,532","90,929",937.15,152.87,143257,14.2,79.58,1.78,0.08,1.53,0.03,0.32,2.47,34.36,16.57,21.68,9.08,18.31
"Lehigh County, Pennsylvania",Lehigh County,Pennsylvania,98288,53.21,84259,45.62,2166,1.17,3.90%,5.80%,32.20%,16.40%,9.30%,19.90%,12.40%,0.4614,"74,973","1,02,938",894.43,418.27,374557,25.89,60.87,6.13,0.09,3.66,0.02,0.47,2.86,37.82,15.96,20.38,6.65,19.19
"Luzerne County, Pennsylvania",Luzerne County,Pennsylvania,64873,42.31,86929,56.7,1519,0.99,3.60%,6.00%,37.80%,17.40%,10.70%,15.10%,9.40%,0.4512,"60,836","79,791",2304.59,141.19,325594,14.4,76.88,4.31,0.09,1.22,0.02,0.3,2.78,33.51,17.23,21.1,8.17,19.99
"Lycoming County, Pennsylvania",Lycoming County,Pennsylvania,16971,28.64,41462,69.97,821,1.39,2.30%,7.00%,38.50%,15.90%,12.00%,15.80%,8.50%,0.4308,"63,437","80,309",3182.89,35.82,114188,2.08,87.3,4.97,0.17,0.81,0.02,0.34,4.32,34.49,17.94,21.78,8.88,16.91
"McKean County, Pennsylvania",McKean County,Pennsylvania,5098,26.19,14083,72.35,285,1.46,2.60%,4.60%,47.20%,15.60%,10.50%,12.00%,7.50%,0.4453,"57,861","74,725",2537.4,15.95,40432,1.59,91.49,2.1,0.25,0.48,0,0.2,3.89,31.73,19.13,18.46,10.51,20.16
"Mercer County, Pennsylvania",Mercer County,Pennsylvania,21067,36.35,36143,62.36,744,1.28,3.20%,6.30%,40.90%,15.70%,9.80%,15.40%,8.70%,0.4462,"57,353","75,590",1741.87,63.49,110652,1.45,87.66,5.68,0.1,0.62,0.01,0.31,4.16,33.49,20.28,20.93,8.65,16.65
"Mifflin County, Pennsylvania",Mifflin County,Pennsylvania,4603,21.41,16670,77.53,229,1.07,4.60%,10.60%,49.20%,14.00%,8.40%,8.50%,4.70%,0.3992,"58,012","70,553",1064.58,43.35,46143,2.12,93.93,0.76,0.11,0.35,0,0.17,2.56,25.66,18.48,18.96,12.23,24.66
"Monroe County, Pennsylvania",Monroe County,Pennsylvania,44060,52.56,38726,46.2,1043,1.24,3.00%,7.10%,35.30%,19.00%,9.00%,16.00%,10.50%,0.4234,"80,656","98,338",1575.65,106.7,168327,16.97,62.21,13.56,0.17,2.34,0.03,0.84,3.88,33.86,18.55,21.67,9.23,16.69
"Montgomery County, Pennsylvania",Montgomery County,Pennsylvania,319511,62.63,185460,36.35,5186,1.02,1.90%,3.30%,22.60%,13.50%,7.20%,29.00%,22.40%,0.4694,"1,07,441","1,48,273",1250.89,684.63,856553,6.36,72.18,9.28,0.09,7.91,0.02,0.45,3.7,53.11,12.41,19.9,5.79,8.78
"Montour County, Pennsylvania",Montour County,Pennsylvania,3771,38.41,5844,59.53,202,2.06,2.80%,4.50%,34.70%,13.00%,8.50%,18.10%,18.30%,0.4979,"72,626","1,03,130",337.56,53.81,18136,2.69,88.8,1.76,0.15,3.68,0,0.12,2.8,47.41,15.38,14.91,8.4,13.89
"Northampton County, Pennsylvania",Northampton County,Pennsylvania,85087,49.64,83854,48.92,2458,1.43,2.60%,5.40%,33.10%,16.30%,9.70%,20.10%,12.70%,0.4451,"82,201","1,08,291",957.74,328.17,312951,14.25,72.97,5.57,0.08,3.16,0.02,0.53,3.41,40.28,16.61,19.77,8.01,15.34
"Northumberland County, Pennsylvania",Northumberland County,Pennsylvania,12677,29.98,28952,68.47,654,1.55,2.70%,7.40%,48.10%,14.50%,8.90%,12.80%,5.70%,0.4345,"55,952","74,086",1185.38,77.06,91647,4.53,89.13,2.61,0.12,0.48,0.03,0.22,2.88,30.56,18.52,19.51,9.91,21.5
"Perry County, Pennsylvania",Perry County,Pennsylvania,5950,24.14,18293,74.2,409,1.66,3.30%,7.50%,46.20%,14.50%,10.20%,12.40%,5.80%,0.4035,"76,103","91,535",1428.25,32.17,45842,1.99,93.45,0.63,0.11,0.3,0.01,0.3,3.21,31.71,13.84,19.53,14.98,19.93
"Philadelphia County, Pennsylvania",Philadelphia County,Pennsylvania,603790,81.44,132740,17.9,4847,0.65,5.00%,8.10%,30.30%,16.80%,6.10%,18.80%,14.80%,0.5178,"57,537","84,435",347.98,4578.45,1603797,14.86,34.35,38.27,0.16,8.26,0.04,0.71,3.36,42.45,21.95,18.95,5.17,11.47
"Pike County, Pennsylvania",Pike County,Pennsylvania,13019,39.99,19213,59.02,322,0.99,1.60%,5.30%,34.00%,22.00%,9.70%,15.60%,11.80%,0.4391,"76,416","98,450",1411.27,41.8,58535,11.48,77.52,5.17,0.21,1.44,0.02,0.4,3.77,32.62,20.01,23.42,10.11,13.84
"Potter County, Pennsylvania",Potter County,Pennsylvania,1726,19.04,7239,79.87,99,1.09,2.80%,7.10%,47.30%,16.60%,9.60%,10.80%,5.90%,0.4138,"56,491","70,333",2800.42,5.85,16396,1.51,94.5,0.26,0.15,0.42,0,0.32,2.84,30.6,14.72,20.61,13.18,20.89
"Schuylkill County, Pennsylvania",Schuylkill County,Pennsylvania,20727,29.36,48871,69.22,1005,1.42,2.70%,7.70%,44.90%,15.20%,11.10%,12.40%,6.10%,0.4284,"63,574","79,277",2016.51,71.01,143049,5.64,88.22,2.88,0.11,0.52,0.01,0.2,2.43,30.9,16.64,16.76,11.55,24.14
"Snyder County, Pennsylvania",Snyder County,Pennsylvania,4910,25.65,13983,73.06,247,1.29,6.30%,8.80%,44.00%,11.10%,8.80%,12.80%,8.20%,0.4234,"65,914","84,417",851.55,46.73,39736,2.46,93.09,1.27,0.08,0.74,0.03,0.15,2.18,32.67,14.41,19.46,11.88,21.58
"Somerset County, Pennsylvania",Somerset County,Pennsylvania,8654,21.35,31466,77.61,423,1.04,3.40%,6.50%,49.10%,14.20%,9.50%,11.20%,6.10%,0.4306,"57,357","76,062",2784.36,26.51,74129,1.4,93.14,2.51,0.07,0.26,0.01,0.17,2.44,32.01,17.41,19.5,13.31,17.77
"Sullivan County, Pennsylvania",Sullivan County,Pennsylvania,921,25.62,2619,72.85,55,1.53,1.10%,8.10%,48.60%,11.60%,11.70%,12.80%,6.00%,0.4294,"62,910","78,481",1165.34,5.05,5840,1.8,92.57,1.32,0.15,0.29,0,0.5,3.37,29.4,20.53,13.62,18.72,17.74
"Susquehanna County, Pennsylvania",Susquehanna County,Pennsylvania,6236,28.67,15207,69.91,309,1.42,1.60%,6.80%,46.20%,16.20%,9.20%,12.70%,7.20%,0.4597,"63,968","88,716",2132.84,18.07,38434,2.2,93.14,0.36,0.15,0.35,0,0.25,3.53,32.8,15.05,19.61,13.72,18.81
"Tioga County, Pennsylvania",Tioga County,Pennsylvania,4955,23.51,15742,74.7,378,1.79,1.80%,6.50%,43.90%,16.90%,9.60%,13.10%,8.20%,0.4188,"59,707","74,629",2936.77,14.02,41045,1.56,93.21,0.78,0.18,0.46,0.02,0.24,3.55,31.49,18.05,17.87,11.52,21.07
"Union County, Pennsylvania",Union County,Pennsylvania,7475,37.16,12356,61.43,284,1.41,4.20%,9.50%,42.30%,11.10%,7.90%,13.30%,11.80%,0.494,"64,914","96,921",818.32,52.43,42681,4.69,84.46,5.76,0.19,1.91,0.02,0.26,2.71,41.46,15.03,21.21,9.11,13.18
"Venango County, Pennsylvania",Venango County,Pennsylvania,7585,28.59,18569,70,374,1.41,2.90%,6.30%,46.40%,15.10%,9.90%,12.80%,6.60%,0.4196,"59,278","73,406",1746.34,28.9,50454,1.14,93.39,0.86,0.13,0.34,0.02,0.19,3.92,29.67,19.4,19.52,9.7,21.7
"Warren County, Pennsylvania",Warren County,Pennsylvania,6066,29.38,14237,68.94,347,1.68,1.80%,4.50%,46.30%,17.20%,11.30%,12.40%,6.50%,0.42,"57,925","74,092",2290.28,16.81,38587,1.08,94.1,0.37,0.18,0.4,0.01,0.15,3.71,30.47,19.52,17.66,9.66,22.69
"Washington County, Pennsylvania",Washington County,Pennsylvania,45088,38.06,72080,60.84,1310,1.11,1.80%,4.20%,35.90%,15.10%,10.60%,20.70%,11.70%,0.4588,"74,403","1,00,823",2219.64,94.44,209349,1.92,89.28,3.28,0.11,0.95,0.03,0.3,4.13,39.96,16.15,20.92,10.29,12.67
"Wayne County, Pennsylvania",Wayne County,Pennsylvania,9191,32.72,18637,66.35,261,0.93,1.80%,6.60%,44.00%,17.40%,9.40%,12.20%,8.60%,0.4217,"59,240","77,823",1879.73,27.25,51155,4.59,87.62,3.22,0.14,0.82,0,0.32,3.29,30.07,18.63,20.8,13.64,16.85
"Westmoreland County, Pennsylvania",Westmoreland County,Pennsylvania,72129,35.15,130218,63.46,2836,1.38,1.30%,3.40%,35.50%,16.60%,12.00%,19.80%,11.40%,0.4512,"69,454","91,343",2661.76,133.15,354663,1.47,91.1,2.53,0.08,0.93,0.01,0.27,3.59,39.18,15.34,20.88,9.06,15.53
"Wyoming County, Pennsylvania",Wyoming County,Pennsylvania,4704,31.66,9936,66.87,218,1.47,1.30%,5.90%,45.60%,16.70%,9.10%,13.90%,7.60%,0.4424,"67,968","87,709",1028.89,25.48,26069,2.23,92.61,0.82,0.12,0.44,0.01,0.15,3.61,30.39,17.65,18.44,13.4,20.12
"York County, Pennsylvania",York County,Pennsylvania,88114,36.95,146733,61.53,3624,1.52,2.60%,6.30%,38.50%,16.70%,9.60%,16.60%,9.70%,0.4168,"79,183","97,814",2342.3,195.13,456438,8.62,80.04,5.65,0.14,1.44,0.03,0.39,3.7,36.55,15.31,20.6,9.22,18.33
"Bristol County, Rhode Island",Bristol County,RhodeIsland,18050,63.52,9745,34.3,620,2.18,2.40%,4.30%,21.20%,14.30%,6.40%,27.40%,24.00%,0.4802,"1,05,875","1,45,356",62.5,810.53,50793,3.83,87.95,1.44,0.17,2.52,0,0.33,3.77,52.86,17.23,18.88,6.08,4.94
"Kent County, Rhode Island",Kent County,RhodeIsland,49113,52.76,42001,45.12,1979,2.13,2.40%,4.80%,28.00%,20.50%,10.60%,20.60%,13.00%,0.4435,"85,732","1,09,772",436.59,389.77,170363,5.67,84.97,1.7,0.21,2.84,0.02,0.45,4.14,43.67,15.93,21.86,7.95,10.6
"Newport County, Rhode Island",Newport County,RhodeIsland,29486,63.89,15722,34.07,940,2.04,2.10%,3.10%,19.80%,15.70%,7.20%,30.20%,21.90%,0.4792,"96,319","1,33,288",265.29,322.07,85643,6.53,82.8,3.09,0.31,1.8,0.06,0.7,4.71,47.02,17.64,21.54,7.78,6.02
"Providence County, Rhode Island",Providence County,RhodeIsland,165012,60.52,102551,37.61,5104,1.87,6.70%,7.00%,29.20%,18.10%,7.80%,18.90%,12.30%,0.4619,"72,579","95,328",1060.55,620.42,660741,24.26,57.3,7.21,0.28,4.25,0.03,1.42,5.24,39.26,18.71,20.83,7.08,14.12
"Washington County, Rhode Island",Washington County,RhodeIsland,44549,58.57,29818,39.2,1693,2.23,1.20%,3.90%,20.70%,17.40%,8.20%,26.80%,21.80%,0.4265,"99,510","1,23,968",852.83,152.43,129839,3.53,88.64,1.13,0.71,2.01,0.04,0.38,3.58,48.38,15.85,20.28,7.96,7.53
"Abbeville County, South Carolina",Abbeville County,SouthCarolina,4101,32.98,8215,66.07,117,0.94,4.90%,10.00%,39.00%,15.30%,11.80%,13.50%,5.60%,0.4901,"49,759","75,391",1272.19,19.15,24295,1.74,68.92,25.45,0.18,0.29,0.03,0.29,3.1,32.1,13.32,18.68,10.73,25.17
"Aiken County, South Carolina",Aiken County,SouthCarolina,32275,37.89,51589,60.56,1321,1.55,3.70%,6.80%,30.50%,20.70%,8.80%,18.80%,10.80%,0.454,"63,212","83,690",2773.07,61.26,168808,6.83,63.93,23.38,0.31,1.05,0.06,0.4,4.05,38.2,16.91,19.36,9.91,15.63
